id,bracket_uuid,bracket_date,round_id
1,6f7d9424-a92a-45ac-9f9b-4035eff5efca,2022-10-05,4
2,9c6644e3-a6e4-4607-a1a5-94c358a9ea2e,2022-10-05,4
3,555876af-35c4-4dbf-9e62-7d7997bad467,2022-10-06,4
4,3870a3ff-d97d-4d36-bef9-ced826dc1cf9,2022-10-06,4
5,9ebb0d1e-2bcb-4f63-9a87-f0803208adfe,2022-10-07,5
6,8fb08df9-2542-4c46-a71c-8d2446d2165c,2022-10-08,5
8,89764aa8-2f86-43ef-9011-a3e58738e7bf,2021-09-29,7
9,bd57034c-f9d0-41ab-81e8-096a4a102902,2021-09-29,7
10,ec18d280-3b0f-4e62-adc1-c49376b83b71,2021-09-30,7
11,86b0ddd1-8eb2-451b-9106-1df18a454aaf,2021-09-30,7
12,46ec071f-5623-443e-a0fe-aa1a949da3ed,2021-10-01,8
13,f2b898d5-925e-4d82-b374-20667900a559,2021-10-01,8
14,ffeaedf3-e685-4844-9e30-569478903d57,2021-10-02,8
15,ddbca82e-03be-4444-abb0-1341b821947d,2021-10-02,8
16,14bc36e3-eb68-4175-a001-fc5b6a5075bc,2021-10-03,9
17,e3867a90-0f2a-480a-b387-fed55799e0b9,2021-10-04,9
18,54ce1357-d999-4e81-a7a0-a8e2ec852f7e,2021-10-05,10
19,6a07c7ca-181c-473f-8de3-339c14f53118,2020-09-30,11
20,56c4e609-2573-4b38-b3c2-847bee681707,2020-09-30,11
21,aab692c7-88a9-4b40-b73c-59333d4d0b88,2020-10-01,11
22,eb67a64e-ff3c-4648-b274-18da70f41465,2020-10-01,11
23,5f88c1d4-e64d-45f9-a70a-dd723a0d639c,2020-10-02,12
24,5b97eccd-8974-4d16-9653-a81634bd16e0,2020-10-02,12
25,0f040b41-79a2-45e8-a570-53ac290a0fe8,2020-10-03,12
26,643a507a-9b74-4aad-ac92-c98eb7e6672d,2020-10-03,12
27,64fa8009-5b5f-45fb-9642-046c71974073,2020-10-04,13
28,c32d6bad-6412-4d46-bd87-75e186ba47e9,2020-10-05,13
96,186679de-ab64-42d1-87c9-04e58be96740,2022-10-07,5
29,4bae3f84-8d65-485c-9b57-2e0600de90ce,2020-10-06,14
30,986be819-df37-415c-9f23-0c58834eb610,2019-10-02,15
31,e762d388-b3c0-4021-a699-adb4bc1b0082,2019-10-02,15
32,59f43674-d7c6-4e78-b4a0-436d05361232,2019-10-03,15
33,65bff494-79b0-499f-b7b3-cf2354851309,2019-10-03,15
34,9e6e06fb-2be9-4799-a5b2-4b04dcd90efd,2019-10-04,16
35,0dbdde1f-e571-42d6-b37e-b1088af733f0,2019-10-04,16
36,8ce90702-d54f-4600-aa9b-a520f1e1ce1f,2019-10-05,16
37,f263c9eb-4c2d-4a16-833b-6a4e429835a9,2019-10-05,16
38,617f3d82-c229-49e2-87e6-8326bb8049bb,2019-10-06,17
39,becf9ed2-db2f-4cc3-9c46-bf5a962a761d,2019-10-07,17
40,98ebeb4f-a067-4049-9a1b-7dc30078f2f7,2019-10-08,18
41,c7d5f50b-9695-4f8a-966a-335b31da1bd7,2018-10-03,19
42,f307b17f-e5c2-43e4-aa2a-1749cd344031,2018-10-03,19
43,b416576d-7b03-4783-b22b-9068d4bac401,2018-10-04,19
44,c53d4ed9-05e2-4156-9a24-05b02a19226e,2018-10-04,19
45,f44de3b5-1188-4ca2-8875-5007f924fd84,2018-10-05,20
46,3b862758-f0ef-4989-97e8-9b4fe125b533,2018-10-05,20
47,7eb1e5c3-c0d8-46ed-82fa-6338bb7f768c,2018-10-06,20
48,1a56fffc-5e91-49bf-b081-cbb0fc88b467,2018-10-06,20
97,a161249c-9a71-4e4e-b1aa-a63dcb9f74c3,2022-10-08,5
98,be3a6d0e-3db1-4e84-9562-ba7ced7ce1c8,2022-10-09,6
99,2e1b29e2-1b54-4a91-a010-e1987e061a5d,2022-10-10,6
49,d1dfabdd-cfa2-4d58-a89a-a9e4fce51172,2018-10-07,21
50,d9ce2479-dd0d-461c-9a35-d808579ec0d3,2018-10-08,21
51,1d856c5f-4278-4a44-b46a-72d5e3ba30e9,2018-10-09,22
52,84382c84-c49e-4f8b-80cb-4ea706f8e656,2017-10-04,23
53,006af2aa-91c7-4343-85c7-9d4a9ce4e573,2017-10-04,23
54,2b896294-2590-4307-99f9-55982aeff4ec,2017-10-05,23
55,376bcca1-2f9f-435d-9aec-30aedc619f62,2017-10-05,23
56,22198071-4c62-4080-8ded-db5633d3ef5e,2017-10-06,24
57,db5d06cc-85c8-4892-b9bd-106de3cf4a46,2017-10-06,24
58,2a8f65d9-9ddd-4fbd-94a9-a49c87b32cd6,2017-10-07,24
59,85e2b04b-f140-467e-a1c1-1ff0b5f0b6a1,2017-10-07,24
60,75ff3a98-1fd3-4a90-9f05-28b8671c5144,2017-10-08,25
61,7f703699-4d58-42ce-9242-01396994142b,2017-10-08,25
62,4d7ec9d2-c1e3-4041-9d6e-c2466383da4f,2017-10-09,26
63,e74d6cfd-45e8-493c-9950-738cd21939ea,2016-10-12,27
64,7a9672cb-f9ed-47ce-94de-1650c4d46b6e,2016-10-12,27
65,442094ae-e5f8-4d49-bfd6-6ec547021587,2016-10-13,27
66,f902c0c2-b906-48a0-b626-b0228d39e5d3,2016-10-13,27
67,ab0346d0-4475-4cb3-a5ae-9a21de40c733,2016-10-14,28
68,13a75d14-d22f-4e9d-ac09-e2f286740ed9,2016-10-14,28
69,e0c0aea1-d859-480e-8710-cf3581875642,2016-10-15,28
70,d8b92ff0-1eae-40d3-80a3-f124a6ab50e5,2016-10-15,28
71,87bb67a9-992b-4ff3-9648-88a2f5f12b5c,2016-10-16,29
72,f6340ae6-55d1-427e-bf14-4e84aaecf9ad,2016-10-16,29
73,75f98b6d-bccf-4cb3-b6d2-2343ba684f8f,2016-10-17,30
74,f4e9e241-906e-465d-b19c-cb6a504f7f69,2015-10-07,31
75,cc911fd7-c002-4775-a03a-ac4de66dfa0d,2015-10-07,31
76,1b40d484-da8d-4a1b-8dc4-2b514cedecf8,2015-10-08,31
77,8adeaccc-5d8d-4410-9573-27547be19c01,2015-10-08,31
78,6b73e6c0-61e7-4037-ad06-3252599f4e3b,2015-10-09,32
79,e30030a3-32bb-48ea-a8d3-131bf4c59e21,2015-10-09,32
80,6dd17fdd-daf6-48c2-91dc-b8f1b1175a29,2015-10-10,32
81,08e4459a-8306-40d4-acd4-aad97d502ab8,2015-10-10,32
82,7ba638b8-9dc1-4184-b784-735b55d68289,2015-10-11,33
83,f72259c1-5e33-485b-bc20-520ee5ddca21,2015-10-11,33
84,0e2745b5-6617-4789-bed5-fe58884a8e5f,2015-10-13,34
85,a872f047-5957-4412-aa6d-9d5c6e71b11b,2014-09-30,35
86,bfe5316d-f42e-4e96-992d-722ba398c778,2014-09-30,35
87,d4c969c5-f613-45c6-858d-d3872f56712c,2014-09-30,35
88,6d17ea83-9d6c-49db-8c66-cd2ae2645caf,2014-09-30,35
89,d46e1664-3352-45bd-a6ac-08ebd420e8b7,2014-09-30,36
90,f64761d9-89e0-488f-b422-ebbef3841901,2014-09-30,36
91,54775373-fcb8-4c49-9692-ca89fd6156f5,2014-09-30,36
92,7562fef6-c835-4b97-b5a4-34b16d83aad3,2014-09-30,36
93,4ffa0f5a-5bea-4b32-af7a-3fa2c9ec6fd4,2014-09-30,37
94,310072dc-f92a-44cc-a824-3b1275ec1c80,2014-09-30,37
95,f35fafeb-9230-4610-866e-dfe336f9b9b6,2014-09-30,38
7,cb914d76-8d1a-4cd0-ad5f-97f97a62d168,2022-10-11,39
